uid,"daddr","time","uncertain","Tracker","Category","Package","App"
10315,"libra-va.tiktokv.com","1683648072020","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"libra16-normal-useast2a.tiktokv.com","1683526020111","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"log19-normal-useast2a.tiktokv.com","1683652771926","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"log22-normal-useast2a.tiktokv.com","1683647530428","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"mon-i18n.tiktokv.com","1683557936038","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"mon-va.byteoversea.com","1683553890970","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"mon-va.tiktokv.com","1683650420664","2","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"mon.isnssdk.com","1683526020069","0","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"mssdk16-normal-useast2a.tiktokv.com","1683530202467","0","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"p16-sign-sg.tiktokcdn.com","1683533482997","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"p16-sign-va.tiktokcdn.com","1683648924136","2","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"p77-sg.tiktokcdn.com","1683553871041","0","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"p77-sign-va-lite.tiktokcdn.com","1683553858259","0","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"pitaya.tiktokv.com","1683192753899","0","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"pull-cmaf-f16-sg01.tiktokcdn.com","1683530296378","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"pull-cmaf-f16-tt01.tiktokcdn.com","1683650429851","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"pull-cmaf-f16-va01.tiktokcdn.com","1683533395628","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"pull-cmaf-l16-sg01.tiktokcdn.com","1683193629648","2","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"search16-normal-c-useast1a.tiktokv.com","1683648012022","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"search19-normal-c-useast1a.tiktokv.com","1683526000804","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"sf16-geckocdn.tiktokcdn.com","1683526017796","0","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"sf16-sg.tiktokcdn.com","1683562073566","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"sf16-va.tiktokcdn.com","1683533432862","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"sf16m-geckocdn.tiktokcdn.com","1683650418380","0","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"tnc16-platform-alisg.tiktokv.com","1683562057683","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"tnc16-platform-useast1a.tiktokv.com","1683559718598","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"tnc16-platform-useast2a.tiktokv.com","1683557934469","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"tpsc-eu3.doubleverify.com","1683533386988","1","DoubleVerify","FingerprintingGeneral","com.zhiliaoapp.musically","TikTok"
10315,"tpsc-video-eu.doubleverify.com","1683533374594","0","DoubleVerify","FingerprintingGeneral","com.zhiliaoapp.musically","TikTok"
