request_time,begintrip_time,begintrip_latitude,begintrip_longitude,dropoff_time,dropoff_latitude,dropoff_longitude,status,currency,fare_profile,fare,distance,duration,surge_multiplier
2015-12-06 6:10:47,2015-12-06 6:17:38,46.1804262,6.1187686,2015-12-06 6:29:21,46.2307902,6.1092816,completed,CHF,uberX,25.02,4.62,11.7,1.0
2015-12-07 10:10:40,2015-12-07 10:14:39,46.1974517,6.1576376,2015-12-07 10:35:05,46.2305891,6.1090062,completed,CHF,uberX,32.14,5.64,20.4333333333,1.0
2015-12-07 10:47:16,2015-12-07 10:59:34,46.1903633,6.1055862,2015-12-07 11:09:26,46.2305629,6.1089006,completed,CHF,uberX,21.46,3.82,9.85,1.0
2015-12-07 11:37:51,2015-12-07 11:48:56,46.1454759,6.1363774,2015-12-07 12:06:15,46.2024721,6.1555585,completed,CHF,uberX,27.14,4.58,17.3166666667,1.0
2015-12-07 12:06:49,2015-12-07 12:16:39,46.1865067,6.1574955,2015-12-07 12:28:27,46.2043267,6.1470349,completed,CHF,uberX,16.16,2.1,11.7833333333,1.0
2015-12-07 12:32:01,2015-12-07 12:45:43,46.2013519,6.1429514,2015-12-07 13:21:56,46.4602459,6.3268405,completed,CHF,uberX,102.08,23.61,36.2166666667,1.0
2015-12-07 14:41:37,2015-12-07 14:49:53,46.2100497,6.1429072,2015-12-07 15:01:04,46.1911299,6.1648694,completed,CHF,uberX,16.85,2.37,11.1833333333,1.0
2015-12-07 15:24:59,,46.1956803,6.1304438,,46.1955502,6.1303592,rider_canceled,CHF,uberX,0.0,,,1.0
2015-12-07 7:42:59,2015-12-07 7:56:15,46.2039634,6.1599428,2015-12-07 8:16:59,46.1887374,6.1295978,completed,CHF,uberX,20.59,2.34,20.7333333333,1.0
2015-12-07 8:16:52,,46.188752,6.1295962,,46.1960264,6.1280724,rider_canceled,CHF,uberX,0.0,,,1.0
2015-12-07 8:32:20,2015-12-07 8:45:06,46.2099201,6.1380823,2015-12-07 8:55:50,46.2211384,6.1353536,completed,CHF,uberX,16.08,2.2,10.7333333333,1.0
2015-12-07 8:56:32,2015-12-07 9:02:15,46.2145187,6.133197,2015-12-07 9:11:26,46.232329,6.132916,completed,CHF,uberX,29.3,1.97,9.2,2.0
2015-12-07 9:11:46,2015-12-07 9:24:36,46.2112898,6.144437,2015-12-07 9:39:26,46.2029583,6.1453104,completed,CHF,uberX,16.3,1.8,14.8333333333,1.0
2015-12-07 9:42:13,2015-12-07 9:51:34,46.1926575,6.1345129,2015-12-07 10:00:59,46.2032403,6.142499,completed,CHF,uberX,12.0,1.2,9.4,1.0
2015-12-08 10:09:33,2015-12-08 10:15:13,46.2169136,6.1889147,2015-12-08 11:51:02,46.2297886,6.1081359,completed,CHF,uberX,67.96,7.24,95.8166666667,1.0
2015-12-08 12:06:27,2015-12-08 12:13:37,46.2111251,6.1113693,2015-12-08 12:20:36,46.2306603,6.1091078,completed,CHF,uberX,14.93,2.3,6.96666666667,1.0
2015-12-08 12:50:45,,46.191489,6.1626554,,46.1914888,6.1626556,rider_canceled,CHF,uberX,0.0,,,1.0
2015-12-08 13:01:07,2015-12-08 13:03:30,46.1919494,6.1665238,2015-12-08 13:10:44,46.2009452,6.1600706,completed,CHF,uberX,10.64,1.06,7.21666666667,1.0
2015-12-08 13:17:25,2015-12-08 13:22:57,46.1909403,6.156927,2015-12-08 13:31:39,46.2017635,6.1520661,completed,CHF,uberX,12.96,1.55,8.68333333333,1.0
2015-12-08 13:38:08,2015-12-08 13:51:51,46.2389335,6.2067581,2015-12-08 14:22:12,46.2307489,6.1092952,completed,CHF,uberX,43.14,7.63,30.3333333333,1.0
2015-12-08 14:43:38,2015-12-08 14:46:30,46.2249723,6.1067609,2015-12-08 14:54:42,46.2314441,6.1319355,completed,CHF,uberX,13.67,1.81,8.18333333333,1.0
2015-12-08 15:21:12,2015-12-08 15:38:54,46.231671,6.1263937,2015-12-08 15:46:53,46.2305221,6.1088593,completed,CHF,uberX,16.38,2.59,8.0,1.0
2015-12-08 7:06:13,2015-12-08 7:09:29,46.1953227,6.1637889,2015-12-08 7:25:04,46.208727,6.1474394,completed,CHF,uberX,16.84,1.87,15.5666666667,1.0
2015-12-08 7:32:14,2015-12-08 7:39:13,46.2026734,6.1576633,2015-12-08 8:13:06,46.1669965,6.1037812,completed,CHF,uberX,36.74,5.42,33.9,1.0
2015-12-08 8:28:19,2015-12-08 8:38:06,46.179161,6.1273573,2015-12-08 8:55:41,46.1944503,6.1218954,completed,CHF,uberX,22.14,3.14,17.5833333333,1.0
2015-12-10 19:47:09,2015-12-10 19:56:17,46.1788289,6.1104627,2015-12-10 20:18:03,46.2020555,6.1634921,completed,CHF,uberX,24.64,3.37,21.7833333333,1.0
